"Reference","Value","Footprint","MFT","MNP","Description"
"BT1,BT3","-- mixed values --","SAMPI:BUTTON_4P_6x6","SCHUR","1301.9304","SWITCH TACTILE T/H DIP-4 SPST-NO OFF-MOM STANDARD 12V 50mA TRAVEL0.25MM WxLxH(6x6x7.5)"
"C1,C2,C4,C5,C10,C15,C17,C31,C38,C40,C41,C42,C43,C44,C48,C49,C50,C52,C53","100nF","SAMPI:CAP0603","YAGE","CC0603ZRY5V9BB104","CAP CER SMD 0603 100nF 50V -20%/80% Y5V GENPURPOSE"
"C3,C6,C26","220uF","SAMPI:CAP1411","NCHC","F930J227KBA","CAP TANT SMD 1411 220uF 6.3V 10% 1.2OHM WxLxH(2.8x3.5x2.3)"
"C7,C8,C9,C13,C19,C20,C21,C22,C39,C55,C56","22pF","SAMPI:CAP0603","YAGE","CC0603JRNPO9BN220","CAP CER SMD 0603 22pF 50V 5% NP0 WxLxH(0x1.6x0.9)"
"C11,C12,C14,C16,C34,C35,C37","10nF","SAMPI:CAP0603","MRTN","GRM188R71H103KA01D","CAP CER SMD 0603 10nF 50V 10% X7R GENPURPOSE"
"C18,C28,C57,C113,C122,C124,C126,C128","-- mixed values --","SAMPI:CAP0402","Murata","GRM155C80J106ME11D","CAP CER 10UF 6.3V X6S 0402"
"C23,C25,C29,C30,C32,C33,C51,C58,C59,C60,C110,C112,C121,C123,C125,C127","100nF","SAMPI:CAP0402","Murata","GRM155R71H104ME14D","CAP CER 0.1UF 50V X7R 0402"
"C24,C61,C62,C101,C119,C120","22pF","SAMPI:CAP0402","Murata","GRM1555C1H220JA01D","CAP CER 22PF 50V C0G/NP0 0402"
"C27,C36,C45,C46,C47,C54","10uF","SAMPI:CAP0603","TAIY","EMK107BBJ106MA-T","CAP CER SMD 0603 10uF 16V 20% X5R WxLxH(0.8x1.6x1)"
"D1","TVS 5.5V","SAMPI:SOT143B_NEXT","Nexperia","PRTR5V0U2X,215","TVS DIODE 5.5VWM SOT143B"
"D2,D3","-- mixed values --","SAMPI:LED0603","ROHM","SML-D12M8WT86","LED GREEN DIFFUSED 3MM ROUND T/H"
"D4,D102","PWR","SAMPI:LED0603","Harvatek","B1931URO-20D000114U1930","LED RED DIFFUSED 0603 SMD"
"D5,D6","-- mixed values --","SAMPI:LED0603","ROHM","SML-D12V8WT86P","LED RED DIFFUSED 3MM ROUND T/H"
"D7,D8,D9,D10","-- mixed values --","SAMPI:LED0606_4P","ROHM","SML-522MU8WT86","LED GREEN/RED DIFFUSED 0606 SMD"
